TREE,05-Nov-2020,Sep 2020,-0.15,-0.26,-0.11,-73.3
BRX,04-Nov-2020,Sep 2020,0.4,0.11,-0.29,-72.5
INCY,05-Nov-2020,Sep 2020,0.72,0.23,-0.49,-68
LNG,06-Nov-2020,Sep 2020,-0.57,-0.87,-0.3,-52.6
MSGS,09-Nov-2020,Sep 2020,-0.79,-1.18,-0.39,-49.3
STOR,05-Nov-2020,Sep 2020,0.45,0.23,-0.22,-48.8
LSI,05-Nov-2020,Sep 2020,0.99,0.52,-0.47,-47.4
VER,05-Nov-2020,Sep 2020,0.75,0.4,-0.35,-46.6
LBRDK,04-Nov-2020,Sep 2020,0.71,0.38,-0.33,-46.4
MIC,09-Nov-2020,Sep 2020,0.8,0.43,-0.37,-46.2
ACAD,04-Nov-2020,Sep 2020,-0.38,-0.54,-0.16,-42.1
PFG,26-Oct-2020,Sep 2020,1.47,0.85,-0.62,-42.1
PACW,14-Oct-2020,Sep 2020,0.63,0.38,-0.25,-39.6
MRNA,29-Oct-2020,Sep 2020,-0.43,-0.59,-0.16,-37.2
GBT,05-Nov-2020,Sep 2020,-0.72,-0.97,-0.25,-34.7
REXR,20-Oct-2020,Sep 2020,0.32,0.21,-0.11,-34.3
PSA,04-Nov-2020,Sep 2020,2.6,1.76,-0.84,-32.3
SRPT,05-Nov-2020,Sep 2020,-1.89,-2.5,-0.61,-32.2
GLPI,27-Oct-2020,Sep 2020,0.85,0.58,-0.27,-31.7
SABR,06-Nov-2020,Sep 2020,-0.63,-0.82,-0.19,-30.1
RNR,27-Oct-2020,Sep 2020,-2.03,-2.64,-0.61,-30
SIX,28-Oct-2020,Sep 2020,-1.06,-1.37,-0.31,-29.2
HCA,26-Oct-2020,Sep 2020,2.69,1.92,-0.77,-28.6
ENR,12-Nov-2020,Sep 2020,0.8,0.59,-0.21,-26.2
SPCE,05-Nov-2020,Sep 2020,-0.27,-0.34,-0.07,-25.9
WPC,30-Oct-2020,Sep 2020,1.14,0.85,-0.29,-25.4
HWM,09-Nov-2020,Sep 2020,0.04,0.03,-0.01,-25
USFD,02-Nov-2020,Sep 2020,0.2,0.15,-0.05,-25
ALNY,05-Nov-2020,Sep 2020,-1.75,-2.18,-0.43,-24.5
BKNG,05-Nov-2020,Sep 2020,15.98,12.27,-3.71,-23.2
COLM,29-Oct-2020,Sep 2020,1.22,0.94,-0.28,-22.9
AGR,20-Oct-2020,Sep 2020,0.41,0.32,-0.09,-21.9
POST,19-Nov-2020,Sep 2020,0.74,0.58,-0.16,-21.6
OXY,09-Nov-2020,Sep 2020,-0.7,-0.84,-0.14,-20
XLRN,05-Nov-2020,Sep 2020,-0.55,-0.66,-0.11,-20
BEN,27-Oct-2020,Sep 2020,0.69,0.56,-0.13,-18.8
PK,05-Nov-2020,Sep 2020,-0.53,-0.63,-0.1,-18.8
