MSI,29-Oct-2020,Sep 2020,1.76,1.95,0.19,10.8
ATVI,29-Oct-2020,Sep 2020,0.64,0.71,0.07,10.9
IRM,05-Nov-2020,Sep 2020,0.55,0.61,0.06,10.9
KEYS,18-Nov-2020,Oct 2020,1.46,1.62,0.16,10.9
CG,29-Oct-2020,Sep 2020,0.36,0.4,0.04,11.1
KHC,29-Oct-2020,Sep 2020,0.63,0.7,0.07,11.1
TEAM,29-Oct-2020,Sep 2020,0.27,0.3,0.03,11.1
TWOU,27-Oct-2020,Sep 2020,-0.27,-0.24,0.03,11.1
JKHY,04-Nov-2020,Sep 2020,1.07,1.19,0.12,11.2
AXS,28-Oct-2020,Sep 2020,-0.87,-0.77,0.1,11.4
CSL,20-Oct-2020,Sep 2020,1.74,1.94,0.2,11.4
INFO,29-Sep-2020,Aug 2020,0.69,0.77,0.08,11.5
ORLY,28-Oct-2020,Sep 2020,6.34,7.07,0.73,11.5
BDX,05-Nov-2020,Sep 2020,2.5,2.79,0.29,11.6
RHI,22-Oct-2020,Sep 2020,0.6,0.67,0.07,11.6
SAGE,05-Nov-2020,Sep 2020,-2.3,-2.03,0.27,11.7
WEN,04-Nov-2020,Sep 2020,0.17,0.19,0.02,11.7
EBAY,28-Oct-2020,Sep 2020,0.76,0.85,0.09,11.8
LAMR,05-Nov-2020,Sep 2020,1.18,1.32,0.14,11.8
SUI,21-Oct-2020,Sep 2020,1.43,1.6,0.17,11.8
BAH,30-Oct-2020,Sep 2020,0.92,1.03,0.11,11.9
TYL,04-Nov-2020,Sep 2020,1.34,1.5,0.16,11.9
CPB,09-Dec-2020,Oct 2020,0.91,1.02,0.11,12
G,02-Nov-2020,Sep 2020,0.5,0.56,0.06,12
GRA,28-Oct-2020,Sep 2020,0.5,0.56,0.06,12
OLLI,03-Dec-2020,Oct 2020,0.58,0.65,0.07,12
EMN,29-Oct-2020,Sep 2020,1.4,1.57,0.17,12.1
PEP,01-Oct-2020,Sep 2020,1.48,1.66,0.18,12.1
CTXS,22-Oct-2020,Sep 2020,1.23,1.38,0.15,12.2
