CRL,29-Oct-2020,Sep 2020,1.8,2.33,0.53,29.4
EXAS,27-Oct-2020,Sep 2020,-0.51,-0.36,0.15,29.4
RMD,29-Oct-2020,Sep 2020,0.98,1.27,0.29,29.5
HII,05-Nov-2020,Sep 2020,4.18,5.45,1.27,30.3
MTG,04-Nov-2020,Sep 2020,0.33,0.43,0.1,30.3
WLK,03-Nov-2020,Sep 2020,0.46,0.6,0.14,30.4
AIG,05-Nov-2020,Sep 2020,0.62,0.81,0.19,30.6
COMM,05-Nov-2020,Sep 2020,0.39,0.51,0.12,30.7
MDT,24-Nov-2020,Oct 2020,0.78,1.02,0.24,30.7
PII,27-Oct-2020,Sep 2020,2.18,2.85,0.67,30.7
WAL,22-Oct-2020,Sep 2020,1.04,1.36,0.32,30.7
RJF,28-Oct-2020,Sep 2020,1.36,1.78,0.42,30.8
CNC,27-Oct-2020,Sep 2020,0.96,1.26,0.3,31.2
MIDD,05-Nov-2020,Sep 2020,1.02,1.34,0.32,31.3
VFC,16-Oct-2020,Sep 2020,0.51,0.67,0.16,31.3
MAS,28-Oct-2020,Sep 2020,0.79,1.04,0.25,31.6
EQT,22-Oct-2020,Sep 2020,-0.22,-0.15,0.07,31.8
PNFP,20-Oct-2020,Sep 2020,1.1,1.45,0.35,31.8
ZM,30-Nov-2020,Oct 2020,0.75,0.99,0.24,32
IAA,02-Nov-2020,Sep 2020,0.31,0.41,0.1,32.2
BC,29-Oct-2020,Sep 2020,1.36,1.8,0.44,32.3
DLB,12-Nov-2020,Sep 2020,0.34,0.45,0.11,32.3
CAH,05-Nov-2020,Sep 2020,1.14,1.51,0.37,32.4
ILMN,29-Oct-2020,Sep 2020,0.77,1.02,0.25,32.4
QRTEA,04-Nov-2020,Sep 2020,0.43,0.57,0.14,32.5
MDB,08-Dec-2020,Oct 2020,-0.46,-0.31,0.15,32.6
CLR,05-Nov-2020,Sep 2020,-0.24,-0.16,0.08,33.3
LESL,21-Dec-2020,Sep 2020,0.21,0.28,0.07,33.3
LULU,10-Dec-2020,Oct 2020,0.87,1.16,0.29,33.3
WY,30-Oct-2020,Sep 2020,0.39,0.52,0.13,33.3
PH,05-Nov-2020,Sep 2020,2.29,3.07,0.78,34
ATH,03-Nov-2020,Sep 2020,1.14,1.53,0.39,34.2
TPX,29-Oct-2020,Sep 2020,0.55,0.74,0.19,34.5
PNR,20-Oct-2020,Sep 2020,0.52,0.7,0.18,34.6
MSGE,16-Nov-2020,Sep 2020,-4.72,-3.04,1.68,35.5
XOM,30-Oct-2020,Sep 2020,-0.28,-0.18,0.1,35.7
PFPT,29-Oct-2020,Sep 2020,0.39,0.53,0.14,35.9
LAZ,29-Oct-2020,Sep 2020,0.49,0.67,0.18,36.7
DBX,05-Nov-2020,Sep 2020,0.19,0.26,0.07,36.8
HAL,19-Oct-2020,Sep 2020,0.08,0.11,0.03,37.5
CLX,02-Nov-2020,Sep 2020,2.34,3.22,0.88,37.6
TSLA,21-Oct-2020,Sep 2020,0.55,0.76,0.21,38.1
ISRG,15-Oct-2020,Sep 2020,2,2.77,0.77,38.5
C,13-Oct-2020,Sep 2020,1.01,1.4,0.39,38.6
TDC,05-Nov-2020,Sep 2020,0.31,0.43,0.12,38.7
WWD,19-Nov-2020,Sep 2020,0.54,0.75,0.21,38.8
ALLE,22-Oct-2020,Sep 2020,1.2,1.67,0.47,39.1
LECO,27-Oct-2020,Sep 2020,0.79,1.1,0.31,39.2
PTC,28-Oct-2020,Sep 2020,0.56,0.78,0.22,39.2
CARR,29-Oct-2020,Sep 2020,0.48,0.67,0.19,39.5
RBC,28-Oct-2020,Sep 2020,1.24,1.73,0.49,39.5
TRMB,04-Nov-2020,Sep 2020,0.43,0.6,0.17,39.5
FB,29-Oct-2020,Sep 2020,1.94,2.71,0.77,39.6
ALB,04-Nov-2020,Sep 2020,0.78,1.09,0.31,39.7
FND,29-Oct-2020,Sep 2020,0.4,0.56,0.16,40
U,12-Nov-2020,Sep 2020,-0.15,-0.09,0.06,40
BA,28-Oct-2020,Sep 2020,-2.33,-1.39,0.94,40.3
IART,28-Oct-2020,Sep 2020,0.57,0.8,0.23,40.3
GGG,21-Oct-2020,Sep 2020,0.42,0.59,0.17,40.4
LEN,14-Sep-2020,Aug 2020,1.51,2.12,0.61,40.4
THO,08-Dec-2020,Oct 2020,1.46,2.05,0.59,40.4
TTWO,05-Nov-2020,Sep 2020,1.45,2.04,0.59,40.6
MHK,29-Oct-2020,Sep 2020,2.31,3.26,0.95,41.1
UHS,29-Oct-2020,Sep 2020,2.04,2.88,0.84,41.1
TRIP,05-Nov-2020,Sep 2020,-0.29,-0.17,0.12,41.3
CRUS,02-Nov-2020,Sep 2020,0.89,1.26,0.37,41.5
CHGG,26-Oct-2020,Sep 2020,0.12,0.17,0.05,41.6
AGNC,26-Oct-2020,Sep 2020,0.57,0.81,0.24,42.1
ON,31-Oct-2020,Sep 2020,0.19,0.27,0.08,42.1
MASI,27-Oct-2020,Sep 2020,0.56,0.8,0.24,42.8
MPC,02-Nov-2020,Sep 2020,-1.75,-1,0.75,42.8
RGEN,05-Nov-2020,Sep 2020,0.28,0.4,0.12,42.8
APTV,29-Oct-2020,Sep 2020,0.79,1.13,0.34,43
HSIC,02-Nov-2020,Sep 2020,0.72,1.03,0.31,43
IPG,21-Oct-2020,Sep 2020,0.37,0.53,0.16,43.2
YUMC,28-Oct-2020,Sep 2020,0.46,0.66,0.2,43.4
FICO,10-Nov-2020,Sep 2020,2.26,3.25,0.99,43.8
GOOG,29-Oct-2020,Sep 2020,11.4,16.4,5,43.8
GOOGL,29-Oct-2020,Sep 2020,11.4,16.4,5,43.8
FITB,22-Oct-2020,Sep 2020,0.59,0.85,0.26,44
RF,20-Oct-2020,Sep 2020,0.34,0.49,0.15,44.1
SNX,29-Sep-2020,Aug 2020,2.31,3.33,1.02,44.1
LKQ,29-Oct-2020,Sep 2020,0.52,0.75,0.23,44.2
SPB,13-Nov-2020,Sep 2020,1.19,1.72,0.53,44.5
BIGC,05-Nov-2020,Sep 2020,-0.29,-0.16,0.13,44.8
IPGP,30-Oct-2020,Sep 2020,0.89,1.29,0.4,44.9
BOKF,21-Oct-2020,Sep 2020,1.51,2.19,0.68,45
ADP,28-Oct-2020,Sep 2020,0.97,1.41,0.44,45.3
SMAR,07-Dec-2020,Oct 2020,-0.22,-0.12,0.1,45.4
FOXA,03-Nov-2020,Sep 2020,0.81,1.18,0.37,45.6
NTAP,01-Dec-2020,Oct 2020,0.72,1.05,0.33,45.8
AN,21-Oct-2020,Sep 2020,1.63,2.38,0.75,46
DELL,24-Nov-2020,Oct 2020,1.39,2.03,0.64,46
NYT,05-Nov-2020,Sep 2020,0.15,0.22,0.07,46.6
CC,03-Nov-2020,Sep 2020,0.32,0.47,0.15,46.8
DXCM,27-Oct-2020,Sep 2020,0.64,0.94,0.3,46.8
PKI,28-Oct-2020,Sep 2020,1.42,2.09,0.67,47.1
OZK,22-Oct-2020,Sep 2020,0.57,0.84,0.27,47.3
SEDG,02-Nov-2020,Sep 2020,0.82,1.21,0.39,47.5
HST,04-Nov-2020,Sep 2020,-0.21,-0.11,0.1,47.6
ALSN,28-Oct-2020,Sep 2020,0.46,0.68,0.22,47.8
ATUS,29-Oct-2020,Sep 2020,0.23,0.34,0.11,47.8
UNVR,04-Nov-2020,Sep 2020,0.23,0.34,0.11,47.8
IP,29-Oct-2020,Sep 2020,0.48,0.71,0.23,47.9
BSX,28-Oct-2020,Sep 2020,0.25,0.37,0.12,48
CMI,27-Oct-2020,Sep 2020,2.41,3.57,1.16,48.1
